image_id,has_face,eye_open,mouth_open,mouth_width,smile,brow_raise,activity
img_001,1,0.038443662226200104,0.23553431034088135,0.8231987357139587,-1.1838356073212708e-07,0.15670183300971985,0.14093154668807983
img_002,1,0.11615210771560669,0.0022041958291083574,0.565588116645813,0.0,0.08920407295227051,0.06518334150314331
img_003,1,0.011637657880783081,0.26613205671310425,0.692905604839325,9.106398835001528e-08,0.1344013512134552,0.1379881501197815
img_004,1,0.11822288483381271,0.003367034252732992,0.6045105457305908,7.552016256795469e-08,0.11667657643556595,0.07197128236293793
img_005,1,0.11051779240369797,0.09778480231761932,0.61465984582901,-8.837404408268412e-08,0.11797121167182922,0.10691528022289276
img_006,1,0.11992610991001129,0.07154446095228195,0.5077742338180542,0.0,0.08282432705163956,0.09315308928489685
img_007,1,0.08092077821493149,0.0054428838193416595,0.5478504300117493,1.4591023500543088e-07,0.1414595991373062,0.0628373846411705
img_008,1,0.13022007048130035,0.004438703414052725,0.49859920144081116,-8.506503945682198e-08,0.10524195432662964,0.07491189986467361
img_009,1,0.09716877341270447,0.0012020600261166692,0.5436373353004456,0.0,0.09090850502252579,0.057530034333467484
img_010,0,,,,,,
img_011,1,0.09229211509227753,0.0025161015801131725,0.5961880087852478,0.0,0.1721343845129013,0.0723501592874527
img_012,1,0.04008663445711136,0.04507213458418846,0.6103928089141846,0.0,0.1220819279551506,0.05847989022731781
img_013,1,0.08828140795230865,0.0023766777012497187,0.5970872044563293,0.0,0.2001868337392807,0.07630060613155365
img_014,1,0.07448525726795197,0.27935197949409485,0.6067463159561157,6.288406950716308e-08,0.09281999617815018,0.16009889543056488
img_015,1,0.10999653488397598,0.006823166739195585,0.5258620381355286,1.7513789885015285e-07,0.130814790725708,0.07289084047079086
img_016,1,0.1086842492222786,0.011995119042694569,0.6341923475265503,0.0,0.18470099568367004,0.08521194756031036
img_017,1,0.0864737257361412,0.13479416072368622,0.574800968170166,-1.097691963991565e-07,0.13775551319122314,0.11605826020240784
img_018,1,0.103303924202919,0.0038160267286002636,0.5422465205192566,0.0,0.07087613642215729,0.05702321231365204
img_019,1,0.07711689919233322,0.022176474332809448,0.5547094941139221,-1.310252315533944e-07,0.22541619837284088,0.084800586104393
img_020,1,0.10778346657752991,0.003959743306040764,0.5578399896621704,0.0,0.07101215422153473,0.058899715542793274
img_021,1,0.07525058090686798,0.2996078431606293,0.6608599424362183,-1.3275827370762272e-07,0.08180352300405502,0.1663040667772293
img_022,1,0.05358858034014702,0.004916009958833456,0.7049834728240967,0.0,0.16717477142810822,0.05683679133653641
img_023,1,0.13317327201366425,0.006828623823821545,0.4721163213253021,0.0,0.13167329132556915,0.08233541250228882
img_024,1,0.017673542723059654,0.10952316969633102,0.7091469168663025,0.0,0.1757071167230606,0.08602011203765869
img_025,1,0.13489635288715363,0.380217045545578,0.48256269097328186,9.801384948104896e-08,0.022926222532987595,0.2106306105852127
img_026,1,0.13306213915348053,0.40678665041923523,0.6941396594047546,-9.341151496755629e-08,0.10430189967155457,0.23679989576339722
img_027,1,0.14643453061580658,0.2640322148799896,0.47981229424476624,7.591930994976792e-08,0.08906222879886627,0.18199914693832397
img_028,1,0.13850338757038116,0.07132776826620102,0.6668572425842285,-7.062427442861008e-08,0.11091732233762741,0.10611592233181
img_029,1,0.12107203900814056,0.18312829732894897,0.6802054047584534,7.723445349938629e-08,0.14039300382137299,0.1497587412595749
img_030,1,0.12751804292201996,0.34248822927474976,0.6059008836746216,9.935609313060922e-08,0.09473539143800735,0.20694957673549652
img_031,1,0.1274193674325943,0.20100754499435425,0.5465937852859497,1.3203919024817878e-07,0.031538087874650955,0.1376783847808838
img_032,1,0.1332259625196457,0.0182011928409338,0.43015509843826294,9.003468193213848e-08,0.11825553327798843,0.0842219665646553
img_033,1,0.09963066875934601,0.007057855371385813,0.547552227973938,-2.5599464947845263e-07,0.19372062385082245,0.08141953498125076
img_034,1,0.15143734216690063,0.03651535511016846,0.48881447315216064,-2.2022953771738685e-07,0.11772942543029785,0.09872696548700333
img_035,1,0.1535578966140747,0.1560097187757492,0.5342854857444763,-1.921875991683919e-07,0.12193044275045395,0.14821313321590424
img_036,0,,,,,,
img_037,1,0.12449197471141815,0.35739991068840027,0.7629817128181458,0.0,0.06383570283651352,0.20552389323711395
img_038,1,0.11111795157194138,0.004400142468512058,0.5733956098556519,-1.092862831342245e-07,0.1406015008687973,0.07432753592729568
img_039,1,0.1272135227918625,0.3346514403820038,0.5574228763580322,1.2207155464238895e-07,0.16578951478004456,0.21790388226509094
img_040,1,0.12194526195526123,0.017422454431653023,0.5864254236221313,-8.174066579158534e-08,0.07668712735176086,0.07108451426029205
img_041,1,0.12302735447883606,0.5614567995071411,0.6361936330795288,-1.3585443525698793e-07,0.07921250909566879,0.28963616490364075
img_042,1,0.10454530268907547,0.0028147639241069555,0.5562146306037903,0.0,0.12805436551570892,0.06855490058660507
img_043,1,0.050762493163347244,0.3210482895374298,0.6510835886001587,-1.417716219975773e-07,0.1179516538977623,0.1723146289587021
img_044,1,0.15997444093227386,0.1697513610124588,0.6346014738082886,-1.201235733105932e-07,0.10311508923768997,0.15251334011554718
img_045,1,0.15834182500839233,0.1992247849702835,0.5173441767692566,9.77658842771234e-08,0.09110269695520401,0.16124719381332397
img_046,1,0.14671792089939117,0.01634727604687214,0.6516081094741821,-1.1146759959501651e-07,0.13918240368366241,0.09306255728006363
img_047,1,0.13145215809345245,0.15557050704956055,0.5879909992218018,8.757395875136353e-08,0.09798439592123032,0.1344059407711029
img_048,1,0.13895200192928314,0.00539026316255331,0.576815128326416,7.128068801875997e-08,0.08845377713441849,0.07542766630649567
img_049,1,0.10300566256046295,0.40823307633399963,0.6465769410133362,0.0,0.08145124465227127,0.2207857370376587
img_050,1,0.07701506465673447,0.015391044318675995,0.5092422366142273,0.0,0.12874087691307068,0.06271061301231384
